city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population
Redwood City,Redwood City,37.5026,-122.2251,United States,US,USA,California,,84950
Port Huron,Port Huron,42.9823,-82.4387,United States,US,USA,Michigan,,84361
Mount Pleasant,Mount Pleasant,32.8532,-79.8269,United States,US,USA,South Carolina,,84170
Johns Creek,Johns Creek,34.0333,-84.2027,United States,US,USA,Georgia,,83873
Troy,Troy,42.5817,-83.1458,United States,US,USA,Michigan,,83641
Mission,Mission,26.204,-98.3251,United States,US,USA,Texas,,83563
Bryan,Bryan,30.6661,-96.367,United States,US,USA,Texas,,83260
Lake Forest,Lake Forest,33.6606,-117.6712,United States,US,USA,California,,83240
Buena Park,Buena Park,33.8572,-118.0046,United States,US,USA,California,,83156
Springfield,Springfield,39.9304,-83.7961,United States,US,USA,Ohio,,83115
Largo,Largo,27.9088,-82.7714,United States,US,USA,Florida,,83065
Alexandria,Alexandria,31.2923,-92.47,United States,US,USA,Louisiana,,82995
Cicero,Cicero,41.8445,-87.7593,United States,US,USA,Illinois,,82992
Conroe,Conroe,30.3174,-95.4705,United States,US,USA,Texas,,82286
Madera,Madera,36.964,-120.0803,United States,US,USA,California,,82278
Pleasanton,Pleasanton,37.666,-121.8805,United States,US,USA,California,,82270
Hattiesburg,Hattiesburg,31.3073,-89.3169,United States,US,USA,Mississippi,,81995
Williamsburg,Williamsburg,37.2691,-76.7075,United States,US,USA,Virginia,,81840
Warwick,Warwick,41.7061,-71.4334,United States,US,USA,Rhode Island,,81579
Westland,Westland,42.3192,-83.3806,United States,US,USA,Michigan,,81545
Somerville,Somerville,42.3908,-71.1013,United States,US,USA,Massachusetts,,81322
Melbourne,Melbourne,28.1152,-80.653,United States,US,USA,Florida,,81185
Lakewood,Lakewood,33.8471,-118.1222,United States,US,USA,California,,81138
Farmington Hills,Farmington Hills,42.486,-83.3771,United States,US,USA,Michigan,,81129
Cranston,Cranston,41.7658,-71.4858,United States,US,USA,Rhode Island,,81034
Texarkana,Texarkana,33.4487,-94.0814,United States,US,USA,Texas,,80888
Alton,Alton,38.9033,-90.1523,United States,US,USA,Illinois,,80871
Saint Joseph,Saint Joseph,39.7598,-94.821,United States,US,USA,Missouri,,80849
Mountain View,Mountain View,37.4001,-122.0796,United States,US,USA,California,,80447
Tustin,Tustin,33.7309,-117.8106,United States,US,USA,California,,80395
Lawrence,Lawrence,42.7003,-71.1626,United States,US,USA,Massachusetts,,80209
Valdosta,Valdosta,30.8503,-83.2789,United States,US,USA,Georgia,,79844
Deerfield Beach,Deerfield Beach,26.305,-80.1278,United States,US,USA,Florida,,79764
Brooklyn Park,Brooklyn Park,45.1112,-93.3505,United States,US,USA,Minnesota,,79707
New Rochelle,New Rochelle,40.9305,-73.7836,United States,US,USA,New York,,79557
Parma,Parma,41.3842,-81.7286,United States,US,USA,Ohio,,79425
Cheyenne,Cheyenne,41.1418,-104.7943,United States,US,USA,Wyoming,admin,79217
Kokomo,Kokomo,40.464,-86.1277,United States,US,USA,Indiana,,79048
Alameda,Alameda,37.767,-122.2673,United States,US,USA,California,,78906
Chino Hills,Chino Hills,33.9508,-117.7254,United States,US,USA,California,,78822
Kankakee,Kankakee,41.1019,-87.8643,United States,US,USA,Illinois,,78682
Newark,Newark,40.0703,-82.4252,United States,US,USA,Ohio,,78563
Springdale,Springdale,36.1897,-94.1574,United States,US,USA,Arkansas,,78557
Florence,Florence,34.83,-87.6658,United States,US,USA,Alabama,,78321
Anderson,Anderson,34.521,-82.6477,United States,US,USA,South Carolina,,78138
Wheeling,Wheeling,40.0753,-80.6951,United States,US,USA,West Virginia,,78088
Flagstaff,Flagstaff,35.1867,-111.6175,United States,US,USA,Arizona,,78065
Lebanon,Lebanon,40.3412,-76.4228,United States,US,USA,Pennsylvania,,77839
Bellflower,Bellflower,33.888,-118.1271,United States,US,USA,California,,77790
Milpitas,Milpitas,37.4338,-121.8921,United States,US,USA,California,,77528
Auburn,Auburn,47.3039,-122.2108,United States,US,USA,Washington,,77472
Pharr,Pharr,26.1687,-98.1904,United States,US,USA,Texas,,77320
Folsom,Folsom,38.6751,-121.1476,United States,US,USA,California,,77271
Watsonville,Watsonville,36.9206,-121.7706,United States,US,USA,California,,77266
Goodyear,Goodyear,33.2613,-112.3622,United States,US,USA,Arizona,,77258
Plymouth,Plymouth,45.0225,-93.4617,United States,US,USA,Minnesota,,77216
Battle Creek,Battle Creek,42.2985,-85.2295,United States,US,USA,Michigan,,77174
Fort Myers,Fort Myers,26.6197,-81.8306,United States,US,USA,Florida,,77146
Hammond,Hammond,41.617,-87.4908,United States,US,USA,Indiana,,77134
Elizabethtown,Elizabethtown,37.7033,-85.8771,United States,US,USA,Kentucky,,77016
Altoona,Altoona,40.5084,-78.401,United States,US,USA,Pennsylvania,,76943
Loveland,Loveland,40.4168,-105.0622,United States,US,USA,Colorado,,76897
Lake Jackson,Lake Jackson,29.052,-95.4518,United States,US,USA,Texas,,76721
Upland,Upland,34.1178,-117.6603,United States,US,USA,California,,76684
Porterville,Porterville,36.0636,-119.0332,United States,US,USA,California,,76512
Baldwin Park,Baldwin Park,34.0829,-117.972,United States,US,USA,California,,76464
Gary,Gary,41.5906,-87.3472,United States,US,USA,Indiana,,76424
Anniston,Anniston,33.6713,-85.8137,United States,US,USA,Alabama,,76350
Perris,Perris,33.7897,-117.2233,United States,US,USA,California,,76331
Saint Augustine,Saint Augustine,29.8979,-81.31,United States,US,USA,Florida,,76129
Baytown,Baytown,29.7607,-94.9628,United States,US,USA,Texas,,75992
Layton,Layton,41.0773,-111.9618,United States,US,USA,Utah,,75655
San Ramon,San Ramon,37.7625,-121.9366,United States,US,USA,California,,75639
Boynton Beach,Boynton Beach,26.5282,-80.0812,United States,US,USA,Florida,,75569
Wyoming,Wyoming,42.8909,-85.7067,United States,US,USA,Michigan,,75567
Davis,Davis,38.5552,-121.7365,United States,US,USA,California,,75553
Arlington Heights,Arlington Heights,42.0955,-87.9825,United States,US,USA,Illinois,,75525
Hilton Head Island,Hilton Head Island,32.1896,-80.7499,United States,US,USA,South Carolina,,75328
Union City,Union City,37.603,-122.0187,United States,US,USA,California,,75322
Bethlehem,Bethlehem,40.6266,-75.3679,United States,US,USA,Pennsylvania,,75293
Oshkosh,Oshkosh,44.0242,-88.561,United States,US,USA,Wisconsin,,75057
Evanston,Evanston,42.0463,-87.6942,United States,US,USA,Illinois,,74895
Franklin,Franklin,35.9215,-86.8522,United States,US,USA,Tennessee,,74794
Zephyrhills,Zephyrhills,28.2404,-82.1796,United States,US,USA,Florida,,74712
Missouri City,Missouri City,29.5634,-95.5377,United States,US,USA,Texas,,74561
Bolingbrook,Bolingbrook,41.6911,-88.1012,United States,US,USA,Illinois,,74518
Schaumburg,Schaumburg,42.0307,-88.0838,United States,US,USA,Illinois,,74446
